"Date","AQS_SITE_ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/25/2017","190170011","1","0.048","ppm","44","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/26/2017","190170011","1","0.021","ppm","19","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/27/2017","190170011","1","0.031","ppm","29","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/28/2017","190170011","1","0.043","ppm","40","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/29/2017","190170011","1","0.042","ppm","39","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"04/30/2017","190170011","1","0.035","ppm","32","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/01/2017","190170011","1","0.045","ppm","42","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/02/2017","190170011","1","0.052","ppm","48","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/03/2017","190170011","1","0.05","ppm","46","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/04/2017","190170011","1","0.049","ppm","45","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/05/2017","190170011","1","0.054","ppm","50","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/06/2017","190170011","1","0.046","ppm","43","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/07/2017","190170011","1","0.046","ppm","43","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
"05/08/2017","190170011","1","0.05","ppm","46","17","100.0000","44201","Ozone","47940","Waterloo-Cedar Falls, IA","19","Iowa","017","Bremer","42.743036336","-92.51324149"
